author_id,created_at,id,lang,retweet_count,text,sinal
"1,46E+18",2022-08-08T01:08:23Z,"1,56E+18",pt,45,RT @EdegarPretto O meu candidato vice-governador é o @PedroRuasPsol fundador trabalhismo e defensor da escola integral de Leonel Bri…,1
"1,51E+18",2022-08-08T01:08:23Z,"1,56E+18",pt,0,Periga o Argenta chamar o Simon pra responder uma pergunta\n\n#DebateNaBandRS,
"1,06E+18",2022-08-08T01:08:21Z,"1,56E+18",pt,14,RT @WinstonLing Segue o link para assistirem o debate de hoje pela internet vamos apoiar o nosso próximo governador @onyxlorenzoni  \n\nBA…,1
"7,15E+17",2022-08-08T01:08:20Z,"1,56E+18",pt,88,RT @EdegarPretto Eu quero dizer aos gaúchos e gaúchas que se eu governador vou anular todos os atos de privatização da nossa Corsan…,
1455004730,2022-08-08T01:08:20Z,"1,56E+18",pt,0,@wmfigueiredo @evertonvf @bandrs @EduardoLeite_ Aos que gostam governador atual quando forem posto de combustível paguem o valor sem redução ICMS pois este governador não quer redução,0
"1,23E+18",2022-08-08T01:08:20Z,"1,56E+18",und,0,@EduardoLeite_ 🤡 ,0
116829646,2022-08-08T01:08:19Z,"1,56E+18",pt,41,Nós já governamos o Rio Grande Sul com @olivio_dutra e @tarsogenro e nós nunca aumentamos impostos nunca vendemos o patrimônio dos gaúchos não atrasamos o salário dos servidores ] \n#LulaOlivioPrettoRuas #DebatenaBandRS,0
337744562,2022-08-08T01:08:18Z,"1,56E+18",pt,1,Onyx Caixa 2 confesso não pode falar em corrupção \no fecho Edegarrrrr #LulaOlivioPrettoRuas #DebatenaBandRS,0
2336691999,2022-08-08T01:08:17Z,"1,56E+18",pt,0,@onyxlorenzoni Essa gente de bem é mesma que é intolerante e  mata por preferência política\n\nCruzes,0
176570576,2022-08-08T01:08:17Z,"1,56E+18",pt,31,RT @LeonelRadde @EdegarPretto demolindo o Onyx Caixa 2 corrupto confesso e propagador de fake news #LulaOlivioPrettoRuas  #DebateNaBand,0
"1,28E+18",2022-08-08T01:08:16Z,"1,56E+18",pt,121,RT @JulianaBrizola Oi O PDT não coloca educação como prioridade @EduardoLeite_  Em que mundo tu vives Te desafio sair ruas e…,0
2800008013,2022-08-08T01:08:16Z,"1,56E+18",pt,1,RT @O_Marcoss Chegou até suar o implante novo q fez \n\n#DebateNaBandRS #LulaOlivioPrettoRuas ,0
2235596608,2022-08-08T01:08:15Z,"1,56E+18",pt,32,"RT @laurasito Onyx caixa 2 confesso não pode falar de corrupção""\n\n@EdegarPretto veio reto Onyx\n\n#DebateNaBandRS #LulaOlivioEdegarRu…",0
260033336,2022-08-08T01:08:11Z,"1,56E+18",pt,131,RT @LeonelRadde Onyx Caixa 2 já mentiu umas 200 vezes nesse debate propagando fake news na cara dura \nAqui está verdade ,0
"1,46E+18",2022-08-08T01:08:11Z,"1,56E+18",pt,79,RT @EdegarPretto Não consigo compreender como um governo permitiu que os servidores da educação ficassem sete anos sem reposição salarial…,0
124157459,2022-08-08T01:08:10Z,"1,56E+18",pt,77,"O @EdegarPretto direto para o Onix eu poderia ficar horas aqui falando das obras PAC RS Qual obra o governo Bolsonaro fez estado Bolsonaro não faz obra ele espalha o ódio fome e o desemprego""\n\n#LulaOlivioEdegarRuas\n#DebateNaBand\n#RSQueOPovoQuer\n#EquipeValdeci",0
334863643,2022-08-08T01:08:10Z,"1,56E+18",pt,0,@marisol_santoss @EduardoLeite_ Ônix governador,1
39305359,2022-08-08T01:08:08Z,"1,56E+18",pt,0,Metade sulll pigarro metade sullll pigarro… #DebateNaBand #DebateNaBandRS @bandrs,
205116171,2022-08-08T01:08:08Z,"1,56E+18",pt,0,Alguém dá uma bala para o Argenta #DebateNaBand\n#DebateNaBandRS,
342047515,2022-08-08T01:08:08Z,"1,56E+18",pt,8,RT @JulianaBrizola Quero fazer meu protesto que mesmo com superavit da arrecadação o Gov atual não investe mais que os 12 constituci…,0
"1,52E+18",2022-08-08T01:08:08Z,"1,56E+18",pt,0,"@EdegarPretto ao @onyxlorenzoni""Caixa dois confesso não pode falar em petrolão Nada técnico mas muito verdadeiro",0
"1,31E+18",2022-08-08T01:08:05Z,"1,56E+18",pt,0,"@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_  @onyxlorenzoni usa sua pergunta para Roberto Argenta para questionar como defender famílias ou vida nas cidades ou algo assim E Roberto Argenta já com garganta seca fala de incentivos empresas E que metade sul é um eldorado brasileiro"" #DebateNaBandRS",
42321168,2022-08-08T01:08:05Z,"1,56E+18",pt,0,@alxlindenmeyer @EdegarPretto Só falta assessorar melhor ele quando falar tema da educação,
"1,55E+18",2022-08-08T01:08:05Z,"1,56E+18",pt,91,RT @giovanicherini              º     \n\n#DebateNaBandRS…,
17231726,2022-08-08T01:08:05Z,"1,56E+18",pt,0,cara de pau @onyxlorenzoni falar em verdade sendo governo @jairbolsonaro   que fala sete mentiras por dia e propagou fake news anti vacina deixando centenas de milhares de mortos país\n#LulaOlivioPrettoRuas\n#DebateNaBandRS,0
"8,80E+17",2022-08-08T01:08:05Z,"1,56E+18",pt,3,RT @Henriqueptpel O @onyxlorenzoni não explica como fala em verdade com o @jairbolsonaro decretando sigilo e governando com orçamento secr…,
"1,46E+18",2022-08-08T01:08:03Z,"1,56E+18",pt,1,RT @OGustavoNR Quase 700k pessoas mortas demonstram o patriotismo Onyx \n\n#DebateNaBandRS,
2235596608,2022-08-08T01:08:03Z,"1,56E+18",pt,16,@Olivio_Dutra e @TarsoGenro não venderam patrimônio público não aumentaram impostos e fizeram pesados investimentos nos setores produtivos Dessa forma o PIB RS subiu acima da média PIB nacional naquele período #DebatenaBandRS #LulaOlivioPrettoRuas,1
118507192,2022-08-08T01:08:01Z,"1,56E+18",pt,0,Lula é o braço auxiliar da reeleição Bolsocorro fica claro que na polaridade essa o pt vai perder Onyx ganhou petista ventríloquo o que é patetico Amostra que se dara debate nacional  #DebateNaBandRS,0
"1,22E+18",2022-08-08T01:08:00Z,"1,56E+18",pt,0,Olha ter quer ouvir o Onyx é muita tortura esse cara é muito nojento\n\n#DebateNaBandRS,0
"1,22E+18",2022-08-08T01:07:58Z,"1,56E+18",pt,0,"#DebateNaBandRS @EdegarPretto desmascarando o usei caixa dois e peço desculpas""",
342047515,2022-08-08T01:07:57Z,"1,56E+18",pt,104,"RT @fernandapsol Onix caixa dois confesso não pode falar de corrupção""  #DebateNaBandRS",0
25846246,2022-08-08T01:07:55Z,"1,56E+18",pt,0,Por mim o GC com o nome e partido candidato poderia ficar durante TODA fala dele\n\nPrincipalmente nesse primeiro debate que o povo ainda não decorou caras e nomes\n\n#DebateNaBand #DebateNaBandRS @ozirismg,
"1,07E+18",2022-08-08T01:07:55Z,"1,56E+18",pt,0,O debate é pra presidente ou governador hein Onyx \n#DebateNaBandRS,
84330177,2022-08-08T01:07:55Z,"1,56E+18",pt,0,Daqui pouco salta um belo catarro nos microfones #debatenabandrs com tosse de um dos candidatos  ,0
"1,03E+18",2022-08-08T01:07:55Z,"1,56E+18",pt,8,RT @JulianaBrizola Não tem explicação o que fizeram com Instituto de Educação @vieirapdt está certo é o símbolo descaso desse governo…,0
82143155,2022-08-08T01:07:53Z,"1,56E+18",pt,32,"Onyx caixa 2 confesso não pode falar de corrupção""\n\n@EdegarPretto veio reto Onyx\n\n#DebateNaBandRS #LulaOlivioEdegarRuas",0
"1,17E+18",2022-08-08T01:07:53Z,"1,56E+18",pt,201,RT @onyxlorenzoni Hoje à noite \nAcompanhem ,1
201083977,2022-08-08T01:07:51Z,"1,56E+18",pt,1,RT @PompeodeMattos Leite trabalhou em prol da evasão escolar negou aos nossos jovens aquilo que é seu por direito \nSeguiu linha neolib…,0
"9,85E+17",2022-08-08T01:07:51Z,"1,56E+18",pt,0,@EduardoLeite_ Graças ao governo federal Faltou isso aí,0
"7,31E+17",2022-08-08T01:07:50Z,"1,56E+18",pt,88,RT @EdegarPretto Eu quero dizer aos gaúchos e gaúchas que se eu governador vou anular todos os atos de privatização da nossa Corsan…,
"1,52E+18",2022-08-08T01:07:49Z,"1,56E+18",pt,31,RT @LeonelRadde @EdegarPretto demolindo o Onyx Caixa 2 corrupto confesso e propagador de fake news #LulaOlivioPrettoRuas  #DebateNaBand,0
"1,39E+18",2022-08-08T01:07:48Z,"1,56E+18",pt,0,@EduardoLeite_ Leite que de bobo nada tem foca agora conquistar o eleitorado feminino como potencial antagosita ao bolsonarismo que ele próprio apoiou em 2018\n\nEduardo mulheres também teriam protagonismo cidadão nos plebiscitos que eliminaste,1
232917321,2022-08-08T01:07:47Z,"1,56E+18",pt,0,@EdegarPretto tá muito bem debate Trouxe o legado dos governo PT atacou com firmeza e não caiu em contradições,1
132603021,2022-08-08T01:07:47Z,"1,56E+18",pt,244,RT @bandrs Band mantém tradição e realiza o primeiro debate entre os candidatos ao governo RS\n HOJE às 21h\n\nTransmissão simult…,1
392286657,2022-08-08T01:07:47Z,"1,56E+18",pt,0,@EduardoLeite_ Fora quebrar empresasusou o dinheiro governo federal que venho pra saúde para se promover dizendo que colocou contas em dia enquanto muitos gaúchos morriam nas filas dos hospitais,0
201083977,2022-08-08T01:07:44Z,"1,56E+18",pt,3,RT @PompeodeMattos Heinze só falta colocar mais um óculos na cabeça tá perdido Leite na defensiva acanhado e com vergonha estelionat…,0
"1,37E+18",2022-08-08T01:07:43Z,"1,56E+18",pt,142,Vrau Onyx Pra fechar com chave de ouro o @EdegarPretto lavou alma povo gaúcho É 13 Viva Lula Viva o PT Vai ser primeiro turno #DebateNaBandRS #LulaOlivioPrettoRuas #LulaOlivioEdegarRuas ,1
"1,48E+18",2022-08-08T01:07:43Z,"1,56E+18",pt,0,@EdegarPretto @LulaOficial @PedroRuasPsol @olivio_dutra Bem acompanhado nosso Governador,1
"1,15E+18",2022-08-08T01:07:42Z,"1,56E+18",pt,45,RT @Adriano202029 Candidatos ao Governo dos Estados que turma boa deve apoiar \n\n@_RodrigoNeves_ PDT-RJ\n@elviscezar_ofc PDT-SP\n@marcu…,
29994116,2022-08-08T01:07:41Z,"1,56E+18",pt,121,Oi O PDT não coloca educação como prioridade @EduardoLeite_  Em que mundo tu vives Te desafio sair ruas e perguntar ao povo gaúcho qual é o partido da educação Te garanto que ouvirás verdade É o PDT,0
342047515,2022-08-08T01:07:39Z,"1,56E+18",pt,0,Onyx mentiroso frita ele @VieiraPDT  #DebateNaBandRS,0
2235596608,2022-08-08T01:07:39Z,"1,56E+18",pt,0,- “O trabalhador com dinheiro bolso vai comprar mais consumir mais e aumentar demanda para roda da economia girar” @EdegarPretto ao lembrar ciclo de crescimento com distribuição de renda à época de @LulaOficial e @DilmaBR #DebatenaBandRS #LulaOlivioPrettoRuas,1
"1,11E+18",2022-08-08T01:07:38Z,"1,56E+18",pt,104,"RT @fernandapsol Onix caixa dois confesso não pode falar de corrupção""  #DebateNaBandRS",0
"1,52E+18",2022-08-08T01:07:38Z,"1,56E+18",eu,3,RT @EvertonPeres8 Ora Ora🤷🫣\n#DebateNaBandRJ #DebateNaBandmg\n#62minutos #3em1  #DebateNaBandsp #debateband #recordnews #CNNBrasil  #BOLSONA…,
2300150357,2022-08-08T01:07:38Z,"1,56E+18",pt,0,Sinceramente tem que ter muito estômago para aturar Ónix cx2 Heinze Cloroquina Dudu Leite e outros bostas aqui RS somente @EdegarPretto  para dar um alento,0
43961870,2022-08-08T01:07:37Z,"1,56E+18",pt,79,RT @EdegarPretto Não consigo compreender como um governo permitiu que os servidores da educação ficassem sete anos sem reposição salarial…,0
201083977,2022-08-08T01:07:37Z,"1,56E+18",pt,4,RT @PompeodeMattos O @VieiraPDT bateu com duas mãos \nLeite se gaba de fazer o mínimo \nO Edegar Pretto diz que vai dar café da manhã p…,0
"8,16E+17",2022-08-08T01:07:35Z,"1,56E+18",pt,54,RT @DedeLulista O Rio Grande Sul está com os piores índices na Educação o @EdegarPretto foi lá e macetou Nós já governamos o estado…,0
995632249,2022-08-08T01:07:33Z,"1,56E+18",pt,0,O fecho @EdegarPretto sobre o marca de chuveiro foi petaculá Caixa 2 confesso não pode falar em corrupção não mesmo,
"1,38E+18",2022-08-08T01:07:32Z,"1,56E+18",pt,1,RT @ruirapina3 Eis grande contribuição o grande trabalho da vida petista Edgar Pretto 🤡 #DebateNaBandRS ,0
"1,06E+18",2022-08-08T01:07:32Z,"1,56E+18",pt,0,Argenta diz que é preciso esforço para manter empresas RS já que elas estão indo embora Diz que precisa estímulo para que elas fiquem e invistam na metade Sul  #DebateNaBandRS,
"1,36E+18",2022-08-08T01:07:32Z,"1,56E+18",pt,1,O nosso candidato governo estado @VieiraPDT está muito preparado para governar o nosso rio grande está mostrando isso debate da @bandrs ,1
201083977,2022-08-08T01:07:31Z,"1,56E+18",pt,8,RT @PompeodeMattos O #DebateNaBandRS está mais parecendo um fraterno encontro entre neoliberais e filhotes da ditadura – como dizia o Dr…,
1671428928,2022-08-08T01:07:30Z,"1,56E+18",pt,8,RT @comuna_bella Eduardo Leite falando que defende mulheres gaúchas engana quem Não esquecemos Ieda Greice e Emanuele que perderam s…,
